RUN	test.scala.Simulation.FixedDurationLoadSimulation	fixeddurationloadsimulation	1594212395131	 	3.3.1
REQUEST	12		Get all video games	1594212412873	1594212412878	OK	 
REQUEST	12		Get all video games	1594212412879	1594212412882	OK	 
USER	Fixed Duration Simulation	30	START	1594212413333	1594212413333
REQUEST	30		Get all video games	1594212413333	1594212413337	OK	 
REQUEST	21		Get Specific Game	1594212413364	1594212413369	OK	 
REQUEST	13		Get all video games	1594212413364	1594212413372	OK	 
REQUEST	13		Get all video games	1594212413373	1594212413376	OK	 
REQUEST	22		Get Specific Game	1594212413864	1594212413868	OK	 
REQUEST	14		Get all video games	1594212413874	1594212413877	OK	 
REQUEST	14		Get all video games	1594212413878	1594212413880	OK	 
USER	Fixed Duration Simulation	31	START	1594212414347	1594212414347
REQUEST	31		Get all video games	1594212414348	1594212414352	OK	 
REQUEST	23		Get Specific Game	1594212414368	1594212414372	OK	 
REQUEST	15		Get all video games	1594212414373	1594212414375	OK	 
REQUEST	15		Get all video games	1594212414376	1594212414379	OK	 
USER	Fixed Duration Simulation	32	START	1594212414833	1594212414833
REQUEST	32		Get all video games	1594212414833	1594212414839	OK	 
REQUEST	24		Get Specific Game	1594212414853	1594212414856	OK	 
USER	Fixed Duration Simulation	33	START	1594212415335	1594212415335
REQUEST	33		Get all video games	1594212415336	1594212415343	OK	 
REQUEST	25		Get Specific Game	1594212415356	1594212415359	OK	 
REQUEST	16		Get all video games	1594212415366	1594212415369	OK	 
REQUEST	16		Get all video games	1594212415370	1594212415373	OK	 
USER	Fixed Duration Simulation	34	START	1594212415843	1594212415843
REQUEST	34		Get all video games	1594212415844	1594212415850	OK	 
REQUEST	17		Get all video games	1594212415875	1594212415878	OK	 
REQUEST	17		Get all video games	1594212415879	1594212415882	OK	 
USER	Fixed Duration Simulation	35	START	1594212416347	1594212416347
REQUEST	35		Get all video games	1594212416348	1594212416354	OK	 
REQUEST	26		Get Specific Game	1594212416358	1594212416361	OK	 
REQUEST	18		Get all video games	1594212416375	1594212416380	OK	 
REQUEST	18		Get all video games	1594212416381	1594212416384	OK	 
REQUEST	27		Get Specific Game	1594212416868	1594212416871	OK	 
REQUEST	19		Get all video games	1594212416873	1594212416875	OK	 
REQUEST	19		Get all video games	1594212416876	1594212416881	OK	 
USER	Fixed Duration Simulation	36	START	1594212417336	1594212417336
REQUEST	36		Get all video games	1594212417337	1594212417342	OK	 
REQUEST	28		Get Specific Game	1594212417357	1594212417359	OK	 
REQUEST	20		Get all video games	1594212417368	1594212417370	OK	 
REQUEST	20		Get all video games	1594212417371	1594212417373	OK	 
REQUEST	4		Get Specific Game	1594212417494	1594212417496	OK	 
REQUEST	8		Get Specific Game	1594212417567	1594212417569	OK	 
REQUEST	9		Get Specific Game	1594212417589	1594212417591	OK	 
REQUEST	1		Get Specific Game	1594212417593	1594212417595	OK	 
REQUEST	5		Get Specific Game	1594212417604	1594212417606	OK	 
REQUEST	2		Get Specific Game	1594212417624	1594212417626	OK	 
